Inversion Individual Karyotype
LGC1.1 P03-G08-DO-21-30.GT 3
LGC1.1 P03-H02-DO-92-08.GT 3
LGC1.1 P03-H03-DO-92-16.GT 3
LGC1.1 P03-H05-DO-21-07.GT 3
LGC1.1 P36-A12-Plate-36-ExpSkerry-029.GT 3
LGC1.1 P36-C10-Plate-36-RefW-088.GT 3
LGC1.1 P36-C11-Plate-36-DonCrab-142.GT 3
LGC1.1 P36-C12-Plate-36-RefW-068.GT 3
LGC1.1 P36-D11-Plate-36-DonCrab-153.GT 3
LGC1.1 P36-E10-Plate-36-RefW-063.GT 3
LGC1.1 P36-E12-Plate-36-RefW-069.GT 3
LGC1.1 P36-F10-Plate-36-RefW-061.GT 3
LGC1.1 P36-F11-Plate-36-RefW-053.GT 3
LGC1.1 P36-G10-Plate-36-RefW-079.GT 3
LGC1.1 P36-G11-Plate-36-RefW-092.GT 3
LGC1.1 P36-G12-Plate-36-ExpSkerry-032.GT 3
LGC1.1 P36-H10-Plate-36-RefW-056.GT 3
LGC1.1 P38-A05-Plate-38-ExpSkerry-022.GT 3
LGC1.1 P38-A06-Plate-38-ExpSkerry-050.GT 3
LGC1.1 P38-B01-Plate-38-RefW-080.GT 3
LGC1.1 P38-B02-Plate-38-ExpSkerry-004.GT 3
LGC1.1 P38-B03-Plate-38-ExpSkerry-005.GT 3
LGC1.1 P38-B04-Plate-38-RefW-073.GT 3
LGC1.1 P38-C01-Plate-38-ExpSkerry-014.GT 3
LGC1.1 P38-C02-Plate-38-ExpSkerry-045.GT 3
LGC1.1 P38-C04-Plate-38-RefW-087.GT 3
LGC1.1 P38-C05-Plate-38-ExpSkerry-051.GT 3
LGC1.1 P38-C06-Plate-38-RefW-082.GT 3
LGC1.1 P38-D01-Plate-38-ExpSkerry-025.GT 3
LGC1.1 P38-D02-Plate-38-ExpSkerry-026.GT 3
LGC1.1 P38-D03-Plate-38-ExpSkerry-017.GT 3
LGC1.1 P38-D04-Plate-38-DonCrab-104.GT 3
LGC1.1 P38-D05-Plate-38-RefW-077.GT 3
LGC1.1 P38-D06-Plate-38-RefW-090.GT 3
LGC1.1 P38-E01-Plate-38-ExpSkerry-003.GT 3
LGC1.1 P38-E02-Plate-38-ExpSkerry-027.GT 3
LGC1.1 P38-E03-Plate-38-RefW-070.GT 3
LGC1.1 P38-E04-Plate-38-ExpSkerry-008.GT 3
LGC1.1 P38-E05-Plate-38-ExpSkerry-018.GT 3
LGC1.1 P38-E06-Plate-38-RefW-086.GT 3
LGC1.1 P38-F01-Plate-38-RefW-059.GT 3
LGC1.1 P38-F03-Plate-38-ExpSkerry-006.GT 3
LGC1.1 P38-F04-Plate-38-ExpSkerry-007.GT 3
LGC1.1 P38-F05-Plate-38-RefW-083.GT 3
LGC1.1 P38-F06-Plate-38-RefW-074.GT 3
LGC1.1 P38-G02-Plate-38-RefW-101.GT 3
LGC1.1 P38-G05-Plate-38-ExpSkerry-030.GT 3
LGC1.1 P38-H01-Plate-38-RefW-099.GT 3
