N0_set r_set K_set M_set gen_factor nll
20 0.4 4000 0 1.33333333333333 5814.1897464424
40 0.4 4000 0 1.33333333333333 5797.40881601996
80 0.4 4000 0 1.33333333333333 5847.6844200008
160 0.4 4000 0 1.33333333333333 5918.52401386177
320 0.4 4000 0 1.33333333333333 5979.41365315209
20 0.025 250 1 1.33333333333333 6286.17746474711
40 0.025 250 1 1.33333333333333 6042.34763926098
80 0.025 250 1 1.33333333333333 5870.96179609148
160 0.025 250 1 1.33333333333333 5784.41295316392
320 0.025 250 1 1.33333333333333 5767.37520043213
20 0.05 250 1 1.33333333333333 6108.47242794828
40 0.05 250 1 1.33333333333333 5929.11500668714
80 0.05 250 1 1.33333333333333 5817.19583188709
160 0.05 250 1 1.33333333333333 5771.22111353812
320 0.05 250 1 1.33333333333333 5770.33863485812
20 0.1 250 1 1.33333333333333 5922.76822641377
40 0.1 250 1 1.33333333333333 5822.65834835539
80 0.1 250 1 1.33333333333333 5773.05735499232
160 0.1 250 1 1.33333333333333 5762.66332043475
320 0.1 250 1 1.33333333333333 5771.43948377697
20 0.2 250 1 1.33333333333333 5813.5215144409
40 0.2 250 1 1.33333333333333 5769.21401867492
80 0.2 250 1 1.33333333333333 5757.32816168405
160 0.2 250 1 1.33333333333333 5761.96172357102
320 0.2 250 1 1.33333333333333 5770.18201067763
20 0.4 250 1 1.33333333333333 5773.84409700036
40 0.4 250 1 1.33333333333333 5757.8110565568
80 0.4 250 1 1.33333333333333 5759.11935024698
160 0.4 250 1 1.33333333333333 5764.35937684255
320 0.4 250 1 1.33333333333333 5768.63565744956
20 0.025 500 1 1.33333333333333 6271.14714492077
40 0.025 500 1 1.33333333333333 6021.25056445344
80 0.025 500 1 1.33333333333333 5845.7861026449
160 0.025 500 1 1.33333333333333 5759.73689458872
320 0.025 500 1 1.33333333333333 5752.11941376527
20 0.05 500 1 1.33333333333333 6080.20657306123
40 0.05 500 1 1.33333333333333 5892.63256951037
80 0.05 500 1 1.33333333333333 5777.65885172607
160 0.05 500 1 1.33333333333333 5737.03349663705
320 0.05 500 1 1.33333333333333 5751.00484572394
20 0.1 500 1 1.33333333333333 5876.45461211479
40 0.1 500 1 1.33333333333333 5772.05714238042
80 0.1 500 1 1.33333333333333 5725.8442957184
160 0.1 500 1 1.33333333333333 5727.39619963619
320 0.1 500 1 1.33333333333333 5754.32430195905
20 0.2 500 1 1.33333333333333 5761.15469928574
40 0.2 500 1 1.33333333333333 5718.30759856814
80 0.2 500 1 1.33333333333333 5716.42181220997
160 0.2 500 1 1.33333333333333 5737.14214057121
320 0.2 500 1 1.33333333333333 5761.54492982225
20 0.4 500 1 1.33333333333333 5722.99689797212
40 0.4 500 1 1.33333333333333 5716.71075030336
80 0.4 500 1 1.33333333333333 5733.59587308302
160 0.4 500 1 1.33333333333333 5753.33318403885
320 0.4 500 1 1.33333333333333 5768.03611372219
20 0.025 1000 1 1.33333333333333 6263.40559673115
40 0.025 1000 1 1.33333333333333 6010.87675481589
80 0.025 1000 1 1.33333333333333 5832.78312520867
160 0.025 1000 1 1.33333333333333 5747.92029823537
320 0.025 1000 1 1.33333333333333 5747.77690886789
20 0.05 1000 1 1.33333333333333 6065.11462798765
40 0.05 1000 1 1.33333333333333 5874.49774153817
80 0.05 1000 1 1.33333333333333 5758.36752938636
160 0.05 1000 1 1.33333333333333 5723.283711331
320 0.05 1000 1 1.33333333333333 5751.91681800879
20 0.1 1000 1 1.33333333333333 5853.40073014524
40 0.1 1000 1 1.33333333333333 5749.1989906026
80 0.1 1000 1 1.33333333333333 5708.65917465186
160 0.1 1000 1 1.33333333333333 5723.83095529915
320 0.1 1000 1 1.33333333333333 5771.33664957719
20 0.2 1000 1 1.33333333333333 5746.32895834629
40 0.2 1000 1 1.33333333333333 5708.07515195244
80 0.2 1000 1 1.33333333333333 5716.8761209118
160 0.2 1000 1 1.33333333333333 5755.74360560875
320 0.2 1000 1 1.33333333333333 5800.39886349989
20 0.4 1000 1 1.33333333333333 5717.07223343374
40 0.4 1000 1 1.33333333333333 5721.27629889808
80 0.4 1000 1 1.33333333333333 5756.00736957788
160 0.4 1000 1 1.33333333333333 5795.17010051974
320 0.4 1000 1 1.33333333333333 5824.98351148135
20 0.025 2000 1 1.33333333333333 6260.36713698217
40 0.025 2000 1 1.33333333333333 6005.50946681224
